,Code,Exchange,Name,Sector,Industry,Country,Region,Assets_%
NFLX.US,NFLX,US,Netflix Inc,Communication Services,Entertainment,United States,North America,0.6
BAC.US,BAC,US,Bank of America Corp,Financial Services,Banks - Diversified,United States,North America,0.59
PLTR.US,PLTR,US,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,North America,0.56
CVX.US,CVX,US,Chevron Corp,Energy,Oil & Gas Integrated,United States,North America,0.56
GE.US,GE,US,GE Aerospace,Industrials,Aerospace & Defense,United States,North America,0.55
CSCO.US,CSCO,US,Cisco Systems Inc,Technology,Communication Equipment,United States,North America,0.52
CAT.US,CAT,US,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery,United States,North America,0.52
LRCX.US,LRCX,US,Lam Research Corp,Technology,Semiconductor Equipment & Materials,United States,North America,0.49
KO.US,KO,US,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,United States,North America,0.49
IBM.US,IBM,US,International Business Machines,Technology,Information Technology Services,United States,North America,0.48
WFC.US,WFC,US,Wells Fargo & Company,Financial Services,Banks - Diversified,United States,North America,0.48
PM.US,PM,US,Philip Morris International Inc,Consumer Defensive,Tobacco,United States,North America,0.47
ORCL.US,ORCL,US,Oracle Corporation,Technology,Software - Infrastructure,United States,North America,0.47
MRK.US,MRK,US,Merck & Company Inc,Healthcare,Drug Manufacturers - General,United States,North America,0.46
GS.US,GS,US,Goldman Sachs Group Inc,Financial Services,Capital Markets,United States,North America,0.46
RTX.US,RTX,US,Raytheon Technologies Corp,Industrials,Aerospace & Defense,United States,North America,0.45
UNH.US,UNH,US,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,United States,North America,0.44
AMAT.US,AMAT,US,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,United States,North America,0.43
MCD.US,MCD,US,McDonald’s Corporation,Consumer Cyclical,Restaurants,United States,North America,0.38
MS.US,MS,US,Morgan Stanley,Financial Services,Capital Markets,United States,North America,0.37
TMO.US,TMO,US,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,United States,North America,0.37
LIN.US,LIN,US,Linde plc Ordinary Shares,Basic Materials,Specialty Chemicals,United States,North America,0.36
PEP.US,PEP,US,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,United States,North America,0.35
INTC.US,INTC,US,Intel Corporation,Technology,Semiconductors,United States,North America,0.35
CRM.US,CRM,US,Salesforce.com Inc,Technology,Software - Application,United States,North America,0.34
DIS.US,DIS,US,Walt Disney Company,Communication Services,Entertainment,United States,North America,0.34
C.US,C,US,Citigroup Inc.,Financial Services,Banks - Diversified,United States,North America,0.34
GEV.US,GEV,US,GE Vernova LLC,Industrials,Specialty Industrial Machinery,United States,North America,0.33
TXN.US,TXN,US,Texas Instruments Incorporated,Technology,Semiconductors,United States,North America,0.33
ABT.US,ABT,US,Abbott Laboratories,Healthcare,Medical Devices,United States,North America,0.32
AXP.US,AXP,US,American Express Company,Financial Services,Credit Services,United States,North America,0.32
VZ.US,VZ,US,Verizon Communications Inc,Communication Services,Telecom Services,United States,North America,0.32
KLAC.US,KLAC,US,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,North America,0.32
T.US,T,US,AT&T Inc,Communication Services,Telecom Services,United States,North America,0.31
AMGN.US,AMGN,US,Amgen Inc,Healthcare,Drug Manufacturers - General,United States,North America,0.31
NEE.US,NEE,US,Nextera Energy Inc,Utilities,Utilities - Regulated Electric,United States,North America,0.31
BA.US,BA,US,The Boeing Company,Industrials,Aerospace & Defense,United States,North America,0.31
ISRG.US,ISRG,US,Intuitive Surgical Inc,Healthcare,Medical Instruments & Supplies,United States,North America,0.3
APH.US,APH,US,Amphenol Corporation,Technology,Electronic Components,United States,North America,0.3
GILD.US,GILD,US,Gilead Sciences Inc,Healthcare,Drug Manufacturers - General,United States,North America,0.3
SCHW.US,SCHW,US,Charles Schwab Corp,Financial Services,Capital Markets,United States,North America,0.29
TJX.US,TJX,US,The TJX Companies Inc,Consumer Cyclical,Apparel Retail,United States,North America,0.28
UBER.US,UBER,US,Uber Technologies Inc,Technology,Software - Application,United States,North America,0.28
SPGI.US,SPGI,US,S&P Global Inc,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.28
ACN.US,ACN,US,Accenture plc,Technology,Information Technology Services,United States,North America,0.28
QCOM.US,QCOM,US,Qualcomm Incorporated,Technology,Semiconductors,United States,North America,0.27
BLK.US,BLK,US,BlackRock Inc,Financial Services,Asset Management,United States,North America,0.27
BKNG.US,BKNG,US,Booking Holdings Inc,Consumer Cyclical,Travel Services,United States,North America,0.27
ADI.US,ADI,US,Analog Devices Inc,Technology,Semiconductors,United States,North America,0.26
PFE.US,PFE,US,Pfizer Inc,Healthcare,Drug Manufacturers - General,United States,North America,0.25
LOW.US,LOW,US,Lowe's Companies Inc,Consumer Cyclical,Home Improvement Retail,United States,North America,0.25
ANET.US,ANET,US,Arista Networks,Technology,Computer Hardware,United States,North America,0.25
HON.US,HON,US,Honeywell International Inc,Industrials,Conglomerates,United States,North America,0.24
UNP.US,UNP,US,Union Pacific Corporation,Industrials,Railroads,United States,North America,0.24
COF.US,COF,US,Capital One Financial Corporation,Financial Services,Credit Services,United States,North America,0.23
INTU.US,INTU,US,Intuit Inc,Technology,Software - Application,United States,North America,0.23
BSX.US,BSX,US,Boston Scientific Corp,Healthcare,Medical Devices,United States,North America,0.23
DHR.US,DHR,US,Danaher Corporation,Healthcare,Diagnostics & Research,United States,North America,0.23
ETN.US,ETN,US,Eaton Corporation PLC,Industrials,Specialty Industrial Machinery,United States,North America,0.23
DE.US,DE,US,Deere & Company,Industrials,Farm & Heavy Construction Machinery,United States,North America,0.22
MDT.US,MDT,US,Medtronic PLC,Healthcare,Medical Devices,United States,North America,0.22
WELL.US,WELL,US,Welltower Inc,Real Estate,REIT - Healthcare Facilities,United States,North America,0.22
LMT.US,LMT,US,Lockheed Martin Corporation,Industrials,Aerospace & Defense,United States,North America,0.22
COP.US,COP,US,ConocoPhillips,Energy,Oil & Gas E&P,United States,North America,0.22
APP.US,APP,US,Applovin Corp,Communication Services,Advertising Agencies,United States,North America,0.22
SYK.US,SYK,US,Stryker Corporation,Healthcare,Medical Devices,United States,North America,0.21
ADBE.US,ADBE,US,Adobe Systems Incorporated,Technology,Software - Application,United States,North America,0.21
NEM.US,NEM,US,Newmont Goldcorp Corp,Basic Materials,Gold,United States,North America,0.21
PGR.US,PGR,US,Progressive Corp,Financial Services,Insurance - Property & Casualty,United States,North America,0.21
NOW.US,NOW,US,ServiceNow Inc,Technology,Software - Application,United States,North America,0.2
PLD.US,PLD,US,Prologis Inc,Real Estate,REIT - Industrial,United States,North America,0.2
PANW.US,PANW,US,Palo Alto Networks Inc,Technology,Software - Infrastructure,United States,North America,0.2
VRTX.US,VRTX,US,Vertex Pharmaceuticals Inc,Healthcare,Biotechnology,United States,North America,0.2
PH.US,PH,US,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,United States,North America,0.2
CB.US,CB,US,Chubb Ltd,Financial Services,Insurance - Property & Casualty,United States,North America,0.19
BMY.US,BMY,US,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,United States,North America,0.19
CRWD.US,CRWD,US,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,United States,North America,0.19
CMCSA.US,CMCSA,US,Comcast Corp,Communication Services,Telecom Services,United States,North America,0.18
BX.US,BX,US,Blackstone Group Inc,Financial Services,Asset Management,United States,North America,0.18
SBUX.US,SBUX,US,Starbucks Corporation,Consumer Cyclical,Restaurants,United States,North America,0.18
CME.US,CME,US,CME Group Inc,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.18
MO.US,MO,US,Altria Group,Consumer Defensive,Tobacco,United States,North America,0.18
MCK.US,MCK,US,McKesson Corporation,Healthcare,Medical Distribution,United States,North America,0.17
ADP.US,ADP,US,Automatic Data Processing Inc,Technology,Software - Application,United States,North America,0.17
ICE.US,ICE,US,Intercontinental Exchange Inc,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.17
SO.US,SO,US,Southern Company,Utilities,Utilities - Regulated Electric,United States,North America,0.17
TMUS.US,TMUS,US,T-Mobile US Inc,Communication Services,Telecom Services,United States,North America,0.16
CVS.US,CVS,US,CVS Health Corp,Healthcare,Healthcare Plans,United States,North America,0.16
DUK.US,DUK,US,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,United States,North America,0.16
TT.US,TT,US,Trane Technologies plc,Industrials,Building Products & Equipment,United States,North America,0.16
NOC.US,NOC,US,Northrop Grumman Corporation,Industrials,Aerospace & Defense,United States,North America,0.16
MMC.US,MMC,US,Marsh & McLennan Companies Inc,Financial Services,Insurance Brokers,United States,North America,0.16
GD.US,GD,US,General Dynamics Corporation,Industrials,Aerospace & Defense,United States,North America,0.15
STX.US,STX,US,Seagate Technology PLC,Technology,Computer Hardware,United States,North America,0.15
CEG.US,CEG,US,Constellation Energy Corp,Utilities,Utilities - Independent Power Producers,United States,North America,0.15
PNC.US,PNC,US,PNC Financial Services Group Inc,Financial Services,Banks - Regional,United States,North America,0.15
USB.US,USB,US,U.S. Bancorp,Financial Services,Banks - Regional,United States,North America,0.15
FCX.US,FCX,US,Freeport-McMoran Copper & Gold Inc,Basic Materials,Copper,United States,North America,0.15
SNPS.US,SNPS,US,Synopsys Inc,Technology,Software - Infrastructure,United States,North America,0.15
WDC.US,WDC,US,Western Digital Corporation,Technology,Computer Hardware,United States,North America,0.14
AMT.US,AMT,US,American Tower Corp,Real Estate,REIT - Specialty,United States,North America,0.14
HWM.US,HWM,US,Howmet Aerospace Inc,Industrials,Aerospace & Defense,United States,North America,0.14
BK.US,BK,US,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,United States,North America,0.14
ORLY.US,ORLY,US,O’Reilly Automotive Inc,Consumer Cyclical,Auto Parts,United States,North America,0.14
EMR.US,EMR,US,Emerson Electric Company,Industrials,Specialty Industrial Machinery,United States,North America,0.14
WM.US,WM,US,Waste Management Inc,Industrials,Waste Management,United States,North America,0.14
RCL.US,RCL,US,Royal Caribbean Cruises Ltd,Consumer Cyclical,Travel Services,United States,North America,0.14
WMB.US,WMB,US,Williams Companies Inc,Energy,Oil & Gas Midstream,United States,North America,0.14
CRH.LSE,CRH,LSE,CRH PLC,Basic Materials,Building Materials,United Kingdom,Europe,0.14
SHW.US,SHW,US,Sherwin-Williams Co,Basic Materials,Specialty Chemicals,United States,North America,0.14
MMM.US,MMM,US,3M Company,Industrials,Conglomerates,United States,North America,0.14
CDNS.US,CDNS,US,Cadence Design Systems Inc,Technology,Software - Application,United States,North America,0.14
EQIX.US,EQIX,US,Equinix Inc,Real Estate,REIT - Specialty,United States,North America,0.14
GLW.US,GLW,US,Corning Incorporated,Technology,Electronic Components,United States,North America,0.14
TDG.US,TDG,US,Transdigm Group Incorporated,Industrials,Aerospace & Defense,United States,North America,0.14
SNDK.US,SNDK,US,Sandisk Corp,Technology,Computer Hardware,United States,North America,0.14
CMI.US,CMI,US,Cummins Inc,Industrials,Specialty Industrial Machinery,United States,North America,0.13
MCO.US,MCO,US,Moodys Corporation,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.13
UPS.US,UPS,US,United Parcel Service Inc,Industrials,Integrated Freight & Logistics,United States,North America,0.13
KKR.US,KKR,US,KKR & Co LP,Financial Services,Asset Management,United States,North America,0.13
GM.US,GM,US,General Motors Company,Consumer Cyclical,Auto Manufacturers,United States,North America,0.13
HOOD.US,HOOD,US,Robinhood Markets Inc,Financial Services,Capital Markets,United States,North America,0.13
HCA.US,HCA,US,HCA Holdings Inc,Healthcare,Medical Care Facilities,United States,North America,0.13
DASH.US,DASH,US,"DoorDash, Inc. Class A Common Stock",Consumer Cyclical,Internet Retail,United States,North America,0.13
ELV.US,ELV,US,Elevance Health Inc,Healthcare,Healthcare Plans,United States,North America,0.13
MDLZ.US,MDLZ,US,Mondelez International Inc,Consumer Defensive,Confectioners,United States,North America,0.13
AON.US,AON,US,Aon PLC,Financial Services,Insurance Brokers,United States,North America,0.13
REGN.US,REGN,US,Regeneron Pharmaceuticals Inc,Healthcare,Biotechnology,United States,North America,0.13
NKE.US,NKE,US,Nike Inc,Consumer Cyclical,Footwear & Accessories,United States,North America,0.12
CI.US,CI,US,Cigna Corp,Healthcare,Healthcare Plans,United States,North America,0.12
JCI.US,JCI,US,Johnson Controls International PLC,Industrials,Building Products & Equipment,United States,North America,0.12
CL.US,CL,US,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,United States,North America,0.12
SLB.US,SLB,US,Schlumberger NV,Energy,Oil & Gas Equipment & Services,United States,North America,0.12
ECL.US,ECL,US,Ecolab Inc,Basic Materials,Specialty Chemicals,United States,North America,0.12
PWR.US,PWR,US,Quanta Services Inc,Industrials,Engineering & Construction,United States,North America,0.12
CSX.US,CSX,US,CSX Corporation,Industrials,Railroads,United States,North America,0.12
MAR.US,MAR,US,Marriott International Inc,Consumer Cyclical,Lodging,United States,North America,0.12
FDX.US,FDX,US,FedEx Corporation,Industrials,Integrated Freight & Logistics,United States,North America,0.12
COR.US,COR,US,Cencora Inc.,Healthcare,Medical Distribution,United States,North America,0.12
HLT.US,HLT,US,Hilton Worldwide Holdings Inc,Consumer Cyclical,Lodging,United States,North America,0.12
ITW.US,ITW,US,Illinois Tool Works Inc,Industrials,Specialty Industrial Machinery,United States,North America,0.12
WBD.US,WBD,US,Warner Bros Discovery Inc,Communication Services,Entertainment,United States,North America,0.12
MSI.US,MSI,US,Motorola Solutions Inc,Technology,Communication Equipment,United States,North America,0.11
TFC.US,TFC,US,Truist Financial Corp,Financial Services,Banks - Regional,United States,North America,0.11
TEL.US,TEL,US,TE Connectivity Ltd,Technology,Electronic Components,United States,North America,0.11
CTAS.US,CTAS,US,Cintas Corporation,Industrials,Specialty Business Services,United States,North America,0.11
NSC.US,NSC,US,Norfolk Southern Corporation,Industrials,Railroads,United States,North America,0.11
PCAR.US,PCAR,US,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,United States,North America,0.11
LHX.US,LHX,US,L3Harris Technologies Inc,Industrials,Aerospace & Defense,United States,North America,0.11
AEP.US,AEP,US,American Electric Power Co Inc,Utilities,Utilities - Regulated Electric,United States,North America,0.11
AJG.US,AJG,US,Arthur J Gallagher & Co,Financial Services,Insurance Brokers,United States,North America,0.11
TRV.US,TRV,US,The Travelers Companies Inc,Financial Services,Insurance - Property & Casualty,United States,North America,0.11
APO.US,APO,US,Apollo Global Management LLC Class A,Financial Services,Asset Management,United States,North America,0.11
SPG.US,SPG,US,Simon Property Group Inc,Real Estate,REIT - Retail,United States,North America,0.11
AZO.US,AZO,US,AutoZone Inc,Consumer Cyclical,Auto Parts,United States,North America,0.1
ROST.US,ROST,US,Ross Stores Inc,Consumer Cyclical,Apparel Retail,United States,North America,0.1
EOG.US,EOG,US,EOG Resources Inc,Energy,Oil & Gas E&P,United States,North America,0.1
APD.US,APD,US,Air Products and Chemicals Inc,Basic Materials,Specialty Chemicals,United States,North America,0.1
KMI.US,KMI,US,Kinder Morgan Inc,Energy,Oil & Gas Midstream,United States,North America,0.1
BDX.US,BDX,US,Becton Dickinson and Company,Healthcare,Medical Instruments & Supplies,United States,North America,0.1
PSX.US,PSX,US,Phillips 66,Energy,Oil & Gas Refining & Marketing,United States,North America,0.1
MNST.US,MNST,US,Monster Beverage Corp,Consumer Defensive,Beverages - Non-Alcoholic,United States,North America,0.1
NXPI.US,NXPI,US,NXP Semiconductors NV,Technology,Semiconductors,United States,North America,0.1
SRE.US,SRE,US,Sempra Energy,Utilities,Utilities - Diversified,United States,North America,0.1
CVNA.US,CVNA,US,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships,United States,North America,0.1
O.US,O,US,Realty Income Corporation,Real Estate,REIT - Retail,United States,North America,0.09
VLO.US,VLO,US,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,United States,North America,0.09
BKR.US,BKR,US,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,United States,North America,0.09
ABNB.US,ABNB,US,Airbnb Inc,Consumer Cyclical,Travel Services,United States,North America,0.09
ZTS.US,ZTS,US,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,United States,North America,0.09
F.US,F,US,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,United States,North America,0.09
MPWR.US,MPWR,US,Monolithic Power Systems Inc,Technology,Semiconductors,United States,North America,0.09
ADSK.US,ADSK,US,Autodesk Inc,Technology,Software - Application,United States,North America,0.09
DLR.US,DLR,US,Digital Realty Trust Inc,Real Estate,REIT - Specialty,United States,North America,0.09
IDXX.US,IDXX,US,IDEXX Laboratories Inc,Healthcare,Diagnostics & Research,United States,North America,0.09
MPC.US,MPC,US,Marathon Petroleum Corp,Energy,Oil & Gas Refining & Marketing,United States,North America,0.09
AFL.US,AFL,US,Aflac Incorporated,Financial Services,Insurance - Life,United States,North America,0.09
ALL.US,ALL,US,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,United States,North America,0.09
AME.US,AME,US,Ametek Inc,Industrials,Specialty Industrial Machinery,United States,North America,0.09
CMG.US,CMG,US,Chipotle Mexican Grill Inc,Consumer Cyclical,Restaurants,United States,North America,0.09
D.US,D,US,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,United States,North America,0.09
FTNT.US,FTNT,US,Fortinet Inc,Technology,Software - Infrastructure,United States,North America,0.09
CAH.US,CAH,US,Cardinal Health Inc,Healthcare,Medical Distribution,United States,North America,0.09
VST.US,VST,US,Vistra Energy Corp,Utilities,Utilities - Independent Power Producers,United States,North America,0.09
CBRE.US,CBRE,US,CBRE Group Inc Class A,Real Estate,Real Estate Services,United States,North America,0.08
OKE.US,OKE,US,ONEOK Inc,Energy,Oil & Gas Midstream,United States,North America,0.08
FAST.US,FAST,US,Fastenal Company,Industrials,Industrial Distribution,United States,North America,0.08
URI.US,URI,US,United Rentals Inc,Industrials,Rental & Leasing Services,United States,North America,0.08
CTVA.US,CTVA,US,Corteva Inc,Basic Materials,Agricultural Inputs,United States,North America,0.08
AMP.US,AMP,US,Ameriprise Financial Inc,Financial Services,Asset Management,United States,North America,0.08
TGT.US,TGT,US,Target Corporation,Consumer Defensive,Discount Stores,United States,North America,0.08
ROK.US,ROK,US,Rockwell Automation Inc,Industrials,Specialty Industrial Machinery,United States,North America,0.08
GWW.US,GWW,US,WW Grainger Inc,Industrials,Industrial Distribution,United States,North America,0.08
EW.US,EW,US,Edwards Lifesciences Corp,Healthcare,Medical Devices,United States,North America,0.08
CARR.US,CARR,US,Carrier Global Corp,Industrials,Building Products & Equipment,United States,North America,0.08
PYPL.US,PYPL,US,PayPal Holdings Inc,Financial Services,Credit Services,United States,North America,0.08
EA.US,EA,US,Electronic Arts Inc,Communication Services,Electronic Gaming & Multimedia,United States,North America,0.08
MSCI.US,MSCI,US,MSCI Inc,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.08
EXC.US,EXC,US,Exelon Corporation,Utilities,Utilities - Regulated Electric,United States,North America,0.08
FITB.US,FITB,US,Fifth Third Bancorp,Financial Services,Banks - Regional,United States,North America,0.08
XEL.US,XEL,US,Xcel Energy Inc,Utilities,Utilities - Regulated Electric,United States,North America,0.08
COIN.US,COIN,US,Coinbase Global Inc,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.07
NDAQ.US,NDAQ,US,Nasdaq Inc,Financial Services,Financial Data & Stock Exchanges,United States,North America,0.07
MET.US,MET,US,MetLife Inc,Financial Services,Insurance - Life,United States,North America,0.07
PSA.US,PSA,US,Public Storage,Real Estate,REIT - Industrial,United States,North America,0.07
RSG.US,RSG,US,Republic Services Inc,Industrials,Waste Management,United States,North America,0.07
YUM.US,YUM,US,Yum! Brands Inc,Consumer Cyclical,Restaurants,United States,North America,0.07
TRGP.US,TRGP,US,Targa Resources Inc,Energy,Oil & Gas Midstream,United States,North America,0.07
ETR.US,ETR,US,Entergy Corporation,Utilities,Utilities - Regulated Electric,United States,North America,0.07
DAL.US,DAL,US,Delta Air Lines Inc,Industrials,Airlines,United States,North America,0.07
DDOG.US,DDOG,US,Datadog Inc,Technology,Software - Application,United States,North America,0.07
EBAY.US,EBAY,US,eBay Inc,Consumer Cyclical,Internet Retail,United States,North America,0.07
PEG.US,PEG,US,Public Service Enterprise Group Inc,Utilities,Utilities - Regulated Electric,United States,North America,0.07
MCHP.US,MCHP,US,Microchip Technology Inc,Technology,Semiconductors,United States,North America,0.07
DHI.US,DHI,US,DR Horton Inc,Consumer Cyclical,Residential Construction,United States,North America,0.07
NUE.US,NUE,US,Nucor Corp,Basic Materials,Steel,United States,North America,0.07
AIG.US,AIG,US,American International Group Inc,Financial Services,Insurance - Diversified,United States,North America,0.07
SYY.US,SYY,US,Sysco Corporation,Consumer Defensive,Food Distribution,United States,North America,0.07
FIX.US,FIX,US,Comfort Systems USA Inc,Industrials,Engineering & Construction,United States,North America,0.07
ROP.US,ROP,US,"Roper Technologies, Inc.",Technology,Software - Application,United States,North America,0.07
VMC.US,VMC,US,Vulcan Materials Company,Basic Materials,Building Materials,United States,North America,0.07
CTSH.US,CTSH,US,Cognizant Technology Solutions Corp Class A,Technology,Information Technology Services,United States,North America,0.07
WAB.US,WAB,US,Westinghouse Air Brake Technologies Corp,Industrials,Railroads,United States,North America,0.07
MLM.US,MLM,US,Martin Marietta Materials Inc,Basic Materials,Building Materials,United States,North America,0.07
IQV.US,IQV,US,IQVIA Holdings Inc,Healthcare,Diagnostics & Research,United States,North America,0.07
PRU.US,PRU,US,Prudential Financial Inc,Financial Services,Insurance - Life,United States,North America,0.07
